"Transaction List by Vendor"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Date","Transaction Type","No.","Vendor","Due Date","Terms","Memo/Description","Amount","Open Balance","Account"
"11/09/2025","Bill","INV-2025-0023","Georgia Power","12/09/2025","Net 30","Georgia Power - November service","1,642.83","1,642.83","Repairs & Maintenance"
"01/16/2025","Bill","INV-2025-0024","Office Depot","02/15/2025","Net 30","Office Depot - January service","345.41","0.00","Repairs & Maintenance"
"03/25/2025","Bill","INV-2025-0025","Office Depot","04/24/2025","Net 30","Office Depot - March service","1,008.41","0.00","Office Supplies"
"07/13/2025","Bill","INV-2025-0026","Office Depot","08/12/2025","Net 30","Office Depot - July service","1,654.66","0.00","Utilities:Electric"
"09/27/2025","Bill","INV-2025-0027","Office Depot","10/27/2025","Net 30","Office Depot - September service","2,840.52","0.00","Repairs & Maintenance"
"12/30/2025","Bill","INV-2025-0028","Office Depot","01/29/2026","Net 30","Office Depot - December service","2,719.75","2,719.75","Office Supplies"
"01/26/2025","Bill","INV-2025-0029","Amazon Web Services","02/25/2025","Net 30","Amazon Web Services - January service","399.79","399.79","Insurance"
"02/01/2025","Bill","INV-2025-0030","Amazon Web Services","03/03/2025","Net 30","Amazon Web Services - February service","1,338.57","1,338.57","Repairs & Maintenance"
"04/26/2025","Bill","INV-2025-0031","Amazon Web Services","05/26/2025","Net 30","Amazon Web Services - April service","2,481.06","2,481.06","Repairs & Maintenance"
"01/23/2025","Bill","INV-2025-0032","Johnson Insurance Agency","02/22/2025","Due on receipt","Johnson Insurance Agency - January service","1,612.07","0.00","Insurance"
"05/06/2025","Bill","INV-2025-0033","Johnson Insurance Agency","06/05/2025","Due on receipt","Johnson Insurance Agency - May service","384.70","0.00","Insurance"
"07/13/2025","Bill","INV-2025-0034","Johnson Insurance Agency","08/12/2025","Due on receipt","Johnson Insurance Agency - July service","951.01","0.00","Office Supplies"
"07/17/2025","Bill","INV-2025-0035","Johnson Insurance Agency","08/16/2025","Due on receipt","Johnson Insurance Agency - July service","2,795.08","0.00","Repairs & Maintenance"
"10/17/2025","Bill","INV-2025-0036","Johnson Insurance Agency","11/16/2025","Due on receipt","Johnson Insurance Agency - October service","2,540.74","2,540.74","Office Supplies"
"01/06/2025","Bill","INV-2025-0037","Comcast Business","02/05/2025","Net 30","Comcast Business - January service","2,730.39","0.00","Office Supplies"
"02/12/2025","Bill","INV-2025-0038","Comcast Business","03/14/2025","Net 30","Comcast Business - February service","2,604.72","2,604.72","Repairs & Maintenance"
"03/09/2025","Bill","INV-2025-0039","Comcast Business","04/08/2025","Net 30","Comcast Business - March service","2,410.99","2,410.99","Repairs & Maintenance"
"01/10/2025","Bill","INV-2025-0040","Georgia Power","02/09/2025","Net 30","Georgia Power - January service","445.68","0.00","Repairs & Maintenance"
"03/04/2025","Bill","INV-2025-0041","Georgia Power","04/03/2025","Net 30","Georgia Power - March service","249.78","0.00","Insurance"
"04/17/2025","Bill","INV-2025-0042","Georgia Power","05/17/2025","Net 30","Georgia Power - April service","1,402.56","1,402.56","Insurance"
"01/07/2025","Bill","INV-2025-0043","Office Depot","02/06/2025","Net 30","Office Depot - January service","565.61","0.00","Office Supplies"
"05/20/2025","Bill","INV-2025-0044","Office Depot","06/19/2025","Net 30","Office Depot - May service","445.21","445.21","Repairs & Maintenance"
"07/04/2025","Bill","INV-2025-0045","Office Depot","08/03/2025","Net 30","Office Depot - July service","2,221.98","2,221.98","Repairs & Maintenance"
"08/01/2025","Bill","INV-2025-0046","Office Depot","08/31/2025","Net 30","Office Depot - August service","490.10","490.10","Repairs & Maintenance"
"03/14/2025","Bill","INV-2025-0047","Sysco Foods","04/13/2025","Net 15","Sysco Foods - March service","1,738.15","1,738.15","Repairs & Maintenance"
"04/10/2025","Bill","INV-2025-0048","Sysco Foods","05/10/2025","Net 15","Sysco Foods - April service","2,646.19","2,646.19","Repairs & Maintenance"
"06/22/2025","Bill","INV-2025-0049","Sysco Foods","07/22/2025","Net 15","Sysco Foods - June service","829.50","0.00","Insurance"
"09/24/2025","Bill","INV-2025-0050","Sysco Foods","10/24/2025","Net 15","Sysco Foods - September service","2,604.82","0.00","Utilities:Electric"
"05/01/2025","Bill","INV-2025-0051","Johnson Insurance Agency","05/31/2025","Due on receipt","Johnson Insurance Agency - May service","2,695.63","0.00","Repairs & Maintenance"
"10/31/2025","Bill","INV-2025-0052","Johnson Insurance Agency","11/30/2025","Due on receipt","Johnson Insurance Agency - October service","1,471.17","0.00","Insurance"
"03/23/2025","Bill","INV-2025-0053","Atlanta Web Design","04/22/2025","Net 30","Atlanta Web Design - March service","1,282.05","0.00","Repairs & Maintenance"
"04/07/2025","Bill","INV-2025-0054","Atlanta Web Design","05/07/2025","Net 30","Atlanta Web Design - April service","2,664.66","2,664.66","Office Supplies"
"10/07/2025","Bill","INV-2025-0055","Atlanta Web Design","11/06/2025","Net 30","Atlanta Web Design - October service","1,432.74","1,432.74","Repairs & Maintenance"
"10/21/2025","Bill","INV-2025-0056","Atlanta Web Design","11/20/2025","Net 30","Atlanta Web Design - October service","451.22","451.22","Utilities:Electric"
"02/22/2025","Bill","INV-2025-0057","Comcast Business","03/24/2025","Net 30","Comcast Business - February service","1,757.47","1,757.47","Office Supplies"
"04/02/2025","Bill","INV-2025-0058","Comcast Business","05/02/2025","Net 30","Comcast Business - April service","2,606.57","2,606.57","Repairs & Maintenance"
"05/23/2025","Bill","INV-2025-0059","Comcast Business","06/22/2025","Net 30","Comcast Business - May service","2,578.65","2,578.65","Repairs & Maintenance"
"05/26/2025","Bill","INV-2025-0060","Comcast Business","06/25/2025","Net 30","Comcast Business - May service","638.63","0.00","Utilities:Electric"
"07/12/2025","Bill","INV-2025-0061","Comcast Business","08/11/2025","Net 30","Comcast Business - July service","1,144.11","0.00","Utilities:Electric"
