"Transaction Detail by Account"
"Sample CPA Firm"
"January 1 - December 31, 2025"

"Date","Transaction Type","No.","Name","Memo/Description","Split","Amount","Balance","Account"
"02/22/2025","Bill","1012","Johnson Insurance Agency","Johnson Insurance Agency - February service","Office Supplies","635.33","","Accounts Payable (A/P)"
"02/22/2025","Bill","1012","Johnson Insurance Agency","Johnson Insurance Agency - February service","Accounts Payable (A/P)","635.33","","Office Supplies"
"02/22/2025","Invoice","1013","Buckhead Residential Group","Invoice for services - February 2025","Landscaping Revenue","4,915.33","","Accounts Receivable (A/R)"
"02/22/2025","Invoice","1013","Buckhead Residential Group","Invoice for services - February 2025","Accounts Receivable (A/R)","4,915.33","","Landscaping Revenue"
"03/05/2025","Deposit","1014","","Bank deposit","Undeposited Funds","8,019.74","","Checking"
"03/05/2025","Deposit","1014","","Bank deposit","Checking","-8,019.74","","Undeposited Funds"
"03/13/2025","Bill","1015","Davis Plumbing","Davis Plumbing - March service","Rent","616.65","","Accounts Payable (A/P)"
"03/13/2025","Bill","1015","Davis Plumbing","Davis Plumbing - March service","Accounts Payable (A/P)","616.65","","Rent"
"03/21/2025","Invoice","1016","Cobb County HOA","Invoice for services - March 2025","Landscaping Revenue","7,554.14","","Accounts Receivable (A/R)"
"03/21/2025","Invoice","1016","Cobb County HOA","Invoice for services - March 2025","Accounts Receivable (A/R)","7,554.14","","Landscaping Revenue"
"03/23/2025","Invoice","1017","Roswell Garden Estates","Invoice for services - March 2025","Landscaping Revenue","6,988.87","","Accounts Receivable (A/R)"
"03/23/2025","Invoice","1017","Roswell Garden Estates","Invoice for services - March 2025","Accounts Receivable (A/R)","6,988.87","","Landscaping Revenue"
"04/12/2025","Bill","1018","Georgia Power","Georgia Power - April service","Repairs & Maintenance","1,626.48","","Accounts Payable (A/P)"
"04/12/2025","Bill","1018","Georgia Power","Georgia Power - April service","Accounts Payable (A/P)","1,626.48","","Repairs & Maintenance"
"04/21/2025","Transfer","1019","","Transfer to savings","Savings","-4,834.32","","Checking"
"04/21/2025","Transfer","1019","","Transfer to savings","Checking","4,834.32","","Savings"
"04/22/2025","Transfer","1020","","Transfer to savings","Savings","-594.87","","Checking"
"04/22/2025","Transfer","1020","","Transfer to savings","Checking","594.87","","Savings"
"04/23/2025","Deposit","1021","","Bank deposit","Undeposited Funds","12,169.68","","Checking"
"04/23/2025","Deposit","1021","","Bank deposit","Checking","-12,169.68","","Undeposited Funds"
"04/25/2025","Deposit","1022","","Bank deposit","Undeposited Funds","13,592.82","","Checking"
"04/25/2025","Deposit","1022","","Bank deposit","Checking","-13,592.82","","Undeposited Funds"
"04/30/2025","Payment","1023","Marietta City Parks","Payment received","Accounts Receivable (A/R)","4,061.20","","Undeposited Funds"
"04/30/2025","Payment","1023","Marietta City Parks","Payment received","Undeposited Funds","-4,061.20","","Accounts Receivable (A/R)"
"05/06/2025","Bill","1024","SiteOne Landscape Supply","SiteOne Landscape Supply - May service","Office Supplies","2,100.97","","Accounts Payable (A/P)"
"05/06/2025","Bill","1024","SiteOne Landscape Supply","SiteOne Landscape Supply - May service","Accounts Payable (A/P)","2,100.97","","Office Supplies"
"05/16/2025","Bill Payment (Check)","5862","Georgia Power","Payment to Georgia Power","Accounts Payable (A/P)","-2,611.38","","Checking"
"05/16/2025","Bill Payment (Check)","5862","Georgia Power","Payment to Georgia Power","Checking","-2,611.38","","Accounts Payable (A/P)"
"05/21/2025","Check","5624","Davis Plumbing","Direct payment - repairs & maintenance","Repairs & Maintenance","-103.47","","Checking"
"05/21/2025","Check","5624","Davis Plumbing","Direct payment - repairs & maintenance","Checking","103.47","","Repairs & Maintenance"
"05/23/2025","Bill Payment (Check)","5332","Peach State Fuel","Payment to Peach State Fuel","Accounts Payable (A/P)","-52.76","","Checking"
"05/23/2025","Bill Payment (Check)","5332","Peach State Fuel","Payment to Peach State Fuel","Checking","-52.76","","Accounts Payable (A/P)"
"05/23/2025","Bill","1028","Georgia Power","Georgia Power - May service","Office Supplies","1,536.39","","Accounts Payable (A/P)"
"05/23/2025","Bill","1028","Georgia Power","Georgia Power - May service","Accounts Payable (A/P)","1,536.39","","Office Supplies"
"05/31/2025","Invoice","1029","Buckhead Residential Group","Invoice for services - May 2025","Landscaping Revenue","1,145.10","","Accounts Receivable (A/R)"
"05/31/2025","Invoice","1029","Buckhead Residential Group","Invoice for services - May 2025","Accounts Receivable (A/R)","1,145.10","","Landscaping Revenue"
"06/22/2025","Deposit","1030","","Bank deposit","Undeposited Funds","14,369.08","","Checking"
"06/22/2025","Deposit","1030","","Bank deposit","Checking","-14,369.08","","Undeposited Funds"
"06/24/2025","Transfer","1031","","Transfer to savings","Savings","-4,863.98","","Checking"
"06/24/2025","Transfer","1031","","Transfer to savings","Checking","4,863.98","","Savings"
"06/26/2025","Invoice","1032","Dunwoody Commons HOA","Invoice for services - June 2025","Landscaping Revenue","4,393.70","","Accounts Receivable (A/R)"
"06/26/2025","Invoice","1032","Dunwoody Commons HOA","Invoice for services - June 2025","Accounts Receivable (A/R)","4,393.70","","Landscaping Revenue"
"07/03/2025","Invoice","1033","Buckhead Residential Group","Invoice for services - July 2025","Landscaping Revenue","7,646.77","","Accounts Receivable (A/R)"
"07/03/2025","Invoice","1033","Buckhead Residential Group","Invoice for services - July 2025","Accounts Receivable (A/R)","7,646.77","","Landscaping Revenue"
"07/05/2025","Bill","1034","Davis Plumbing","Davis Plumbing - July service","Auto Expense","2,258.96","","Accounts Payable (A/P)"
"07/05/2025","Bill","1034","Davis Plumbing","Davis Plumbing - July service","Accounts Payable (A/P)","2,258.96","","Auto Expense"
"07/13/2025","Check","5731","SiteOne Landscape Supply","Direct payment - advertising","Advertising","-229.85","","Checking"
"07/13/2025","Check","5731","SiteOne Landscape Supply","Direct payment - advertising","Checking","229.85","","Advertising"
"07/14/2025","Bill","1036","Peach State Fuel","Peach State Fuel - July service","Office Supplies","1,899.15","","Accounts Payable (A/P)"
"07/14/2025","Bill","1036","Peach State Fuel","Peach State Fuel - July service","Accounts Payable (A/P)","1,899.15","","Office Supplies"
"08/03/2025","Invoice","1037","Marietta City Parks","Invoice for services - August 2025","Landscaping Revenue","672.75","","Accounts Receivable (A/R)"
"08/03/2025","Invoice","1037","Marietta City Parks","Invoice for services - August 2025","Accounts Receivable (A/R)","672.75","","Landscaping Revenue"
"08/05/2025","Bill Payment (Check)","5073","Peach State Fuel","Payment to Peach State Fuel","Accounts Payable (A/P)","-952.00","","Checking"
"08/05/2025","Bill Payment (Check)","5073","Peach State Fuel","Payment to Peach State Fuel","Checking","-952.00","","Accounts Payable (A/P)"
"08/05/2025","Deposit","1039","","Bank deposit","Undeposited Funds","1,964.29","","Checking"
"08/05/2025","Deposit","1039","","Bank deposit","Checking","-1,964.29","","Undeposited Funds"
"08/18/2025","Invoice","1040","Cobb County HOA","Invoice for services - August 2025","Landscaping Revenue","7,542.42","","Accounts Receivable (A/R)"
"08/18/2025","Invoice","1040","Cobb County HOA","Invoice for services - August 2025","Accounts Receivable (A/R)","7,542.42","","Landscaping Revenue"
"08/24/2025","Invoice","1041","Roswell Garden Estates","Invoice for services - August 2025","Landscaping Revenue","2,781.85","","Accounts Receivable (A/R)"
"08/24/2025","Invoice","1041","Roswell Garden Estates","Invoice for services - August 2025","Accounts Receivable (A/R)","2,781.85","","Landscaping Revenue"
"09/16/2025","Bill","1042","Peach State Fuel","Peach State Fuel - September service","Repairs & Maintenance","591.92","","Accounts Payable (A/P)"
"09/16/2025","Bill","1042","Peach State Fuel","Peach State Fuel - September service","Accounts Payable (A/P)","591.92","","Repairs & Maintenance"
"10/02/2025","Bill Payment (Check)","5195","Davis Plumbing","Payment to Davis Plumbing","Accounts Payable (A/P)","-1,987.52","","Checking"
"10/02/2025","Bill Payment (Check)","5195","Davis Plumbing","Payment to Davis Plumbing","Checking","-1,987.52","","Accounts Payable (A/P)"
"10/07/2025","Invoice","1044","Dunwoody Commons HOA","Invoice for services - October 2025","Landscaping Revenue","4,031.45","","Accounts Receivable (A/R)"
"10/07/2025","Invoice","1044","Dunwoody Commons HOA","Invoice for services - October 2025","Accounts Receivable (A/R)","4,031.45","","Landscaping Revenue"
"10/07/2025","Bill","1045","Johnson Insurance Agency","Johnson Insurance Agency - October service","Auto Expense","271.86","","Accounts Payable (A/P)"
"10/07/2025","Bill","1045","Johnson Insurance Agency","Johnson Insurance Agency - October service","Accounts Payable (A/P)","271.86","","Auto Expense"
"10/10/2025","Transfer","1046","","Transfer to savings","Savings","-1,306.07","","Checking"
"10/10/2025","Transfer","1046","","Transfer to savings","Checking","1,306.07","","Savings"
"10/15/2025","Bill","1047","SiteOne Landscape Supply","SiteOne Landscape Supply - October service","Office Supplies","497.31","","Accounts Payable (A/P)"
"10/15/2025","Bill","1047","SiteOne Landscape Supply","SiteOne Landscape Supply - October service","Accounts Payable (A/P)","497.31","","Office Supplies"
"10/23/2025","Invoice","1048","The Greens at Vinings","Invoice for services - October 2025","Landscaping Revenue","1,648.54","","Accounts Receivable (A/R)"
"10/23/2025","Invoice","1048","The Greens at Vinings","Invoice for services - October 2025","Accounts Receivable (A/R)","1,648.54","","Landscaping Revenue"
"10/29/2025","Invoice","1049","The Greens at Vinings","Invoice for services - October 2025","Landscaping Revenue","2,546.09","","Accounts Receivable (A/R)"
"10/29/2025","Invoice","1049","The Greens at Vinings","Invoice for services - October 2025","Accounts Receivable (A/R)","2,546.09","","Landscaping Revenue"
"10/30/2025","Bill","1050","Peach State Fuel","Peach State Fuel - October service","Auto Expense","451.06","","Accounts Payable (A/P)"
"10/30/2025","Bill","1050","Peach State Fuel","Peach State Fuel - October service","Accounts Payable (A/P)","451.06","","Auto Expense"
"11/05/2025","Transfer","1051","","Transfer to savings","Savings","-620.11","","Checking"
"11/05/2025","Transfer","1051","","Transfer to savings","Checking","620.11","","Savings"
"11/06/2025","Transfer","1052","","Transfer to savings","Savings","-2,436.21","","Checking"
"11/06/2025","Transfer","1052","","Transfer to savings","Checking","2,436.21","","Savings"
"11/13/2025","Bill","1053","Johnson Insurance Agency","Johnson Insurance Agency - November service","Utilities:Electric","925.51","","Accounts Payable (A/P)"
"11/13/2025","Bill","1053","Johnson Insurance Agency","Johnson Insurance Agency - November service","Accounts Payable (A/P)","925.51","","Utilities:Electric"
"11/18/2025","Invoice","1054","Cobb County HOA","Invoice for services - November 2025","Landscaping Revenue","3,698.33","","Accounts Receivable (A/R)"
"11/18/2025","Invoice","1054","Cobb County HOA","Invoice for services - November 2025","Accounts Receivable (A/R)","3,698.33","","Landscaping Revenue"
"11/29/2025","Transfer","1055","","Transfer to savings","Savings","-4,227.36","","Checking"
"11/29/2025","Transfer","1055","","Transfer to savings","Checking","4,227.36","","Savings"
"12/13/2025","Bill","1056","Peach State Fuel","Peach State Fuel - December service","Rent","2,761.91","","Accounts Payable (A/P)"
"12/13/2025","Bill","1056","Peach State Fuel","Peach State Fuel - December service","Accounts Payable (A/P)","2,761.91","","Rent"
"12/24/2025","Invoice","1057","Marietta City Parks","Invoice for services - December 2025","Landscaping Revenue","2,283.07","","Accounts Receivable (A/R)"
"12/24/2025","Invoice","1057","Marietta City Parks","Invoice for services - December 2025","Accounts Receivable (A/R)","2,283.07","","Landscaping Revenue"
"12/26/2025","Bill Payment (Check)","5322","Peach State Fuel","Payment to Peach State Fuel","Accounts Payable (A/P)","-299.95","","Checking"
"12/26/2025","Bill Payment (Check)","5322","Peach State Fuel","Payment to Peach State Fuel","Checking","-299.95","","Accounts Payable (A/P)"
"01/30/2025","Invoice","1059","Cobb County HOA","Void: Original invoice voided","Services Revenue","0.00","","Accounts Receivable (A/R)"
"01/26/2025","Expense","1060","","Bank service charge","Checking","47.61","","Bank Charges"
"01/26/2025","Expense","1060","","Bank service charge","Bank Charges","-47.61","","Checking"
"09/15/2025","Expense","1061","","Bank service charge","Checking","43.20","","Bank Charges"
"09/15/2025","Expense","1061","","Bank service charge","Bank Charges","-43.20","","Checking"
"01/30/2025","Expense","1062","","Bank service charge","Checking","42.10","","Bank Charges"
"01/30/2025","Expense","1062","","Bank service charge","Bank Charges","-42.10","","Checking"
"01/05/2025","Credit Card Expense","1063","Office Depot","Credit card purchase - office supplies","Office Supplies","168.84","","Credit Card"
"01/05/2025","Credit Card Expense","1063","Amazon Web Services","Credit card purchase - office supplies","Credit Card","168.84","","Office Supplies"
"01/05/2025","Invoice","1064","Piedmont Healthcare","Invoice for services - January 2025","Consulting Revenue","6,581.70","","Accounts Receivable (A/R)"
"01/05/2025","Invoice","1064","Piedmont Healthcare","Invoice for services - January 2025","Accounts Receivable (A/R)","6,581.70","","Consulting Revenue"
"01/21/2025","Invoice","1065","Delta Air Lines IT Dept","Invoice for services - January 2025","Consulting Revenue","5,454.26","","Accounts Receivable (A/R)"
"01/21/2025","Invoice","1065","Delta Air Lines IT Dept","Invoice for services - January 2025","Accounts Receivable (A/R)","5,454.26","","Consulting Revenue"
"02/04/2025","Deposit","1066","","Bank deposit","Undeposited Funds","4,335.87","","Checking"
"02/04/2025","Deposit","1066","","Bank deposit","Checking","-4,335.87","","Undeposited Funds"
"02/05/2025","Check","5271","Georgia Power","Direct payment - bank charges","Bank Charges","-153.06","","Checking"
"02/05/2025","Check","5271","Georgia Power","Direct payment - bank charges","Checking","153.06","","Bank Charges"
"02/05/2025","Check","5850","Amazon Web Services","Direct payment - advertising","Advertising","-47.00","","Checking"
"02/05/2025","Check","5850","Amazon Web Services","Direct payment - advertising","Checking","47.00","","Advertising"
"02/07/2025","Deposit","1069","","Bank deposit","Undeposited Funds","11,438.33","","Checking"
"02/07/2025","Deposit","1069","","Bank deposit","Checking","-11,438.33","","Undeposited Funds"
"02/07/2025","Invoice","1070","Cox Enterprises","Invoice for services - February 2025","Consulting Revenue","5,019.90","","Accounts Receivable (A/R)"
"02/07/2025","Invoice","1070","Cox Enterprises","Invoice for services - February 2025","Accounts Receivable (A/R)","5,019.90","","Consulting Revenue"
"02/11/2025","Bill","1071","Georgia Power","Georgia Power - February service","Auto Expense","508.09","","Accounts Payable (A/P)"
"02/11/2025","Bill","1071","Georgia Power","Georgia Power - February service","Accounts Payable (A/P)","508.09","","Auto Expense"
"02/21/2025","Journal Entry","JE-1072","Atlanta Tech Solutions Inc","Amortize prepaid insurance","Prepaid Insurance","2,334.04","","Insurance"
"02/21/2025","Journal Entry","JE-1072","Atlanta Tech Solutions Inc","Amortize prepaid insurance","Insurance","-2,334.04","","Prepaid Insurance"
"03/03/2025","Bill Payment (Check)","5043","Office Depot","Payment to Office Depot","Accounts Payable (A/P)","-1,810.16","","Checking"
"03/03/2025","Bill Payment (Check)","5043","Office Depot","Payment to Office Depot","Checking","-1,810.16","","Accounts Payable (A/P)"
"03/09/2025","Payment","1074","Equifax Technology Services","Payment received","Accounts Receivable (A/R)","7,550.05","","Undeposited Funds"
"03/09/2025","Payment","1074","Equifax Technology Services","Payment received","Undeposited Funds","-7,550.05","","Accounts Receivable (A/R)"
"03/09/2025","Journal Entry","JE-1075","Atlanta Tech Solutions Inc","Monthly depreciation","Accumulated Depreciation","960.87","","Depreciation Expense"
"03/09/2025","Journal Entry","JE-1075","Atlanta Tech Solutions Inc","Monthly depreciation","Depreciation Expense","-960.87","","Accumulated Depreciation"
"03/22/2025","Check","5363","Office Depot","Direct payment - bank charges","Bank Charges","-342.95","","Checking"
"03/22/2025","Check","5363","Office Depot","Direct payment - bank charges","Checking","342.95","","Bank Charges"
"04/15/2025","Transfer","1077","","Transfer to savings","Savings","-2,439.20","","Checking"
"04/15/2025","Transfer","1077","","Transfer to savings","Checking","2,439.20","","Savings"
"04/20/2025","Transfer","1078","","Transfer to savings","Savings","-1,950.52","","Checking"
"04/20/2025","Transfer","1078","","Transfer to savings","Checking","1,950.52","","Savings"
"05/01/2025","Invoice","1079","Southern Company","Invoice for services - May 2025","Consulting Revenue","3,221.52","","Accounts Receivable (A/R)"
"05/01/2025","Invoice","1079","Southern Company","Invoice for services - May 2025","Accounts Receivable (A/R)","3,221.52","","Consulting Revenue"
"05/03/2025","Credit Card Expense","1080","Georgia Power","Credit card purchase - office supplies","Office Supplies","142.34","","Credit Card"
"05/03/2025","Credit Card Expense","1080","Johnson Insurance Agency","Credit card purchase - office supplies","Credit Card","142.34","","Office Supplies"
"05/06/2025","Journal Entry","JE-1081","Atlanta Tech Solutions Inc","Monthly depreciation","Accumulated Depreciation","2,027.28","","Depreciation Expense"
"05/06/2025","Journal Entry","JE-1081","Atlanta Tech Solutions Inc","Monthly depreciation","Depreciation Expense","-2,027.28","","Accumulated Depreciation"
"05/07/2025","Credit Card Expense","1082","Office Depot","Credit card purchase - advertising","Advertising","250.44","","Credit Card"
"05/07/2025","Credit Card Expense","1082","Office Depot","Credit card purchase - advertising","Credit Card","250.44","","Advertising"
"05/14/2025","Invoice","1083","Georgia-Pacific Corp","Invoice for services - May 2025","Consulting Revenue","3,764.42","","Accounts Receivable (A/R)"
"05/14/2025","Invoice","1083","Georgia-Pacific Corp","Invoice for services - May 2025","Accounts Receivable (A/R)","3,764.42","","Consulting Revenue"
"05/16/2025","Payment","1084","Piedmont Healthcare","Payment received","Accounts Receivable (A/R)","6,835.35","","Undeposited Funds"
"05/16/2025","Payment","1084","Piedmont Healthcare","Payment received","Undeposited Funds","-6,835.35","","Accounts Receivable (A/R)"
"05/16/2025","Bill","1085","Comcast Business","Comcast Business - May service","Software Revenue","1,687.86","","Accounts Payable (A/P)"
"05/16/2025","Bill","1085","Comcast Business","Comcast Business - May service","Accounts Payable (A/P)","1,687.86","","Software Revenue"
"05/26/2025","Bill Payment (Check)","5183","Georgia Power","Payment to Georgia Power","Accounts Payable (A/P)","-522.33","","Checking"
"05/26/2025","Bill Payment (Check)","5183","Georgia Power","Payment to Georgia Power","Checking","-522.33","","Accounts Payable (A/P)"
"06/03/2025","Bill Payment (Check)","5611","Amazon Web Services","Payment to Amazon Web Services","Accounts Payable (A/P)","-206.13","","Checking"
"06/03/2025","Bill Payment (Check)","5611","Amazon Web Services","Payment to Amazon Web Services","Checking","-206.13","","Accounts Payable (A/P)"
"06/04/2025","Bill","1088","Amazon Web Services","Amazon Web Services - June service","Repairs & Maintenance","1,837.77","","Accounts Payable (A/P)"
"06/04/2025","Bill","1088","Amazon Web Services","Amazon Web Services - June service","Accounts Payable (A/P)","1,837.77","","Repairs & Maintenance"
"06/10/2025","Invoice","1089","NCR Corporation","Invoice for services - June 2025","Consulting Revenue","2,057.32","","Accounts Receivable (A/R)"
"06/10/2025","Invoice","1089","NCR Corporation","Invoice for services - June 2025","Accounts Receivable (A/R)","2,057.32","","Consulting Revenue"
"06/11/2025","Invoice","1090","Cox Enterprises","Invoice for services - June 2025","Consulting Revenue","513.66","","Accounts Receivable (A/R)"
"06/11/2025","Invoice","1090","Cox Enterprises","Invoice for services - June 2025","Accounts Receivable (A/R)","513.66","","Consulting Revenue"
"06/11/2025","Transfer","1091","","Transfer to savings","Savings","-4,910.87","","Checking"
"06/11/2025","Transfer","1091","","Transfer to savings","Checking","4,910.87","","Savings"
"06/28/2025","Deposit","1092","","Bank deposit","Undeposited Funds","13,156.94","","Checking"
"06/28/2025","Deposit","1092","","Bank deposit","Checking","-13,156.94","","Undeposited Funds"
"07/09/2025","Check","5373","Amazon Web Services","Direct payment - bank charges","Bank Charges","-60.85","","Checking"
"07/09/2025","Check","5373","Amazon Web Services","Direct payment - bank charges","Checking","60.85","","Bank Charges"
"07/22/2025","Check","5680","Comcast Business","Direct payment - office supplies","Office Supplies","-393.38","","Checking"
"07/22/2025","Check","5680","Comcast Business","Direct payment - office supplies","Checking","393.38","","Office Supplies"
"07/26/2025","Payment","1095","Cox Enterprises","Payment received","Accounts Receivable (A/R)","3,172.51","","Undeposited Funds"
"07/26/2025","Payment","1095","Cox Enterprises","Payment received","Undeposited Funds","-3,172.51","","Accounts Receivable (A/R)"
"08/03/2025","Check","5568","Johnson Insurance Agency","Direct payment - repairs & maintenance","Repairs & Maintenance","-123.53","","Checking"
"08/03/2025","Check","5568","Johnson Insurance Agency","Direct payment - repairs & maintenance","Checking","123.53","","Repairs & Maintenance"
"08/13/2025","Check","5925","Amazon Web Services","Direct payment - repairs & maintenance","Repairs & Maintenance","-340.72","","Checking"
"08/13/2025","Check","5925","Amazon Web Services","Direct payment - repairs & maintenance","Checking","340.72","","Repairs & Maintenance"
"08/23/2025","Bill","1098","Georgia Power","Georgia Power - August service","Office Supplies","1,294.36","","Accounts Payable (A/P)"
"08/23/2025","Bill","1098","Georgia Power","Georgia Power - August service","Accounts Payable (A/P)","1,294.36","","Office Supplies"
"08/23/2025","Bill","1099","Comcast Business","Comcast Business - August service","Insurance","2,534.83","","Accounts Payable (A/P)"
"08/23/2025","Bill","1099","Comcast Business","Comcast Business - August service","Accounts Payable (A/P)","2,534.83","","Insurance"
"09/17/2025","Bill","1100","Johnson Insurance Agency","Johnson Insurance Agency - September service","Repairs & Maintenance","2,817.27","","Accounts Payable (A/P)"
"09/17/2025","Bill","1100","Johnson Insurance Agency","Johnson Insurance Agency - September service","Accounts Payable (A/P)","2,817.27","","Repairs & Maintenance"
"09/25/2025","Bill","1101","Office Depot","Office Depot - September service","Insurance","2,748.10","","Accounts Payable (A/P)"
"09/25/2025","Bill","1101","Office Depot","Office Depot - September service","Accounts Payable (A/P)","2,748.10","","Insurance"
"09/28/2025","Bill Payment (Check)","5839","Comcast Business","Payment to Comcast Business","Accounts Payable (A/P)","-1,422.11","","Checking"
"09/28/2025","Bill Payment (Check)","5839","Comcast Business","Payment to Comcast Business","Checking","-1,422.11","","Accounts Payable (A/P)"
"10/03/2025","Transfer","1103","","Transfer to savings","Savings","-2,424.86","","Checking"
"10/03/2025","Transfer","1103","","Transfer to savings","Checking","2,424.86","","Savings"
"10/06/2025","Payment","1104","Equifax Technology Services","Payment received","Accounts Receivable (A/R)","2,131.18","","Undeposited Funds"
"10/06/2025","Payment","1104","Equifax Technology Services","Payment received","Undeposited Funds","-2,131.18","","Accounts Receivable (A/R)"
"10/16/2025","Invoice","1105","Georgia-Pacific Corp","Invoice for services - October 2025","Consulting Revenue","4,392.78","","Accounts Receivable (A/R)"
"10/16/2025","Invoice","1105","Georgia-Pacific Corp","Invoice for services - October 2025","Accounts Receivable (A/R)","4,392.78","","Consulting Revenue"
"10/17/2025","Credit Card Expense","1106","Comcast Business","Credit card purchase - advertising","Advertising","52.58","","Credit Card"
"10/17/2025","Credit Card Expense","1106","Office Depot","Credit card purchase - advertising","Credit Card","52.58","","Advertising"
"10/19/2025","Deposit","1107","","Bank deposit","Undeposited Funds","7,291.63","","Checking"
"10/19/2025","Deposit","1107","","Bank deposit","Checking","-7,291.63","","Undeposited Funds"
"10/24/2025","Bill","1108","Office Depot","Office Depot - October service","Utilities:Electric","2,737.88","","Accounts Payable (A/P)"
"10/24/2025","Bill","1108","Office Depot","Office Depot - October service","Accounts Payable (A/P)","2,737.88","","Utilities:Electric"
"10/26/2025","Journal Entry","JE-1109","Atlanta Tech Solutions Inc","Amortize prepaid insurance","Prepaid Insurance","536.99","","Insurance"
"10/26/2025","Journal Entry","JE-1109","Atlanta Tech Solutions Inc","Amortize prepaid insurance","Insurance","-536.99","","Prepaid Insurance"
"11/01/2025","Invoice","1110","Equifax Technology Services","Invoice for services - November 2025","Consulting Revenue","6,200.66","","Accounts Receivable (A/R)"
"11/01/2025","Invoice","1110","Equifax Technology Services","Invoice for services - November 2025","Accounts Receivable (A/R)","6,200.66","","Consulting Revenue"
"11/01/2025","Bill","1111","Comcast Business","Comcast Business - November service","Rent","1,070.15","","Accounts Payable (A/P)"
"11/01/2025","Bill","1111","Comcast Business","Comcast Business - November service","Accounts Payable (A/P)","1,070.15","","Rent"
"11/10/2025","Invoice","1112","Cox Enterprises","Invoice for services - November 2025","Consulting Revenue","5,968.67","","Accounts Receivable (A/R)"
"11/10/2025","Invoice","1112","Cox Enterprises","Invoice for services - November 2025","Accounts Receivable (A/R)","5,968.67","","Consulting Revenue"
"11/14/2025","Transfer","1113","","Transfer to savings","Savings","-3,099.96","","Checking"
"11/14/2025","Transfer","1113","","Transfer to savings","Checking","3,099.96","","Savings"
"11/15/2025","Journal Entry","JE-1114","Atlanta Tech Solutions Inc","Accrue payroll liabilities","Payroll Liabilities","2,167.54","","Payroll Expenses"
"11/15/2025","Journal Entry","JE-1114","Atlanta Tech Solutions Inc","Accrue payroll liabilities","Payroll Expenses","-2,167.54","","Payroll Liabilities"
"11/27/2025","Bill","1115","Office Depot","Office Depot - November service","Insurance","1,994.57","","Accounts Payable (A/P)"
"11/27/2025","Bill","1115","Office Depot","Office Depot - November service","Accounts Payable (A/P)","1,994.57","","Insurance"
"12/01/2025","Deposit","1116","","Bank deposit","Undeposited Funds","14,760.81","","Checking"
"12/01/2025","Deposit","1116","","Bank deposit","Checking","-14,760.81","","Undeposited Funds"
